tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
35,100.000000,142.857143,0.034426,0.050000,0.302779,0.250000,4.750000,45000.0000,0.007890,0.929894,1.191511,9.524823,0.001574,0.009050,1518
36,100.000000,142.857143,0.062592,0.050000,0.346489,0.250000,4.750000,45000.0000,0.012793,0.933502,1.943284,9.587898,0.002243,0.018333,1518
37,100.000000,142.857143,0.107630,0.050000,0.396510,0.250000,4.250000,40000.0000,0.019648,0.925968,3.003293,11.600006,0.003030,0.006733,1518
38,100.000000,142.857143,0.176212,0.050000,0.453753,0.250000,3.750000,35000.0000,0.028778,0.931607,4.427842,11.333590,0.003903,0.012514,1518
39,100.000000,142.857143,0.276289,0.050000,0.519259,0.250000,3.750000,35000.0000,0.040432,0.936659,6.264072,11.092044,0.004825,-0.000000,1518
40,100.000000,142.857143,0.416997,0.050000,0.594222,0.250000,3.250000,30000.0000,0.054770,0.931045,8.546773,13.092350,0.005753,0.012307,1518
41,100.000000,142.857143,0.608528,0.050000,0.680006,0.250000,3.250000,30000.0000,0.071855,0.937362,11.296730,12.528591,0.006645,-0.000000,1518
42,100.000000,142.857143,0.861989,0.050000,0.778176,0.250000,3.250000,30000.0000,0.091658,0.932299,14.520501,14.669378,0.007464,0.019240,1518
43,100.000000,142.857143,1.189269,0.050000,0.890517,0.250000,2.750000,25000.0000,0.114070,0.924387,18.211305,17.806897,0.008180,0.006963,1518
44,100.000000,142.857143,1.602927,0.050000,1.019077,0.250000,2.750000,25000.0000,0.138917,0.935220,22.350601,15.951439,0.008773,-0.000000,1518
45,100.000000,142.857143,2.116116,0.050000,1.166196,0.250000,2.250000,20000.0000,0.165982,0.929159,26.909935,18.917909,0.009230,0.012534,1518
46,100.000000,142.857143,2.742530,0.050000,1.334554,0.250000,2.250000,20000.0000,0.195020,0.938578,31.852714,17.151366,0.009547,-0.000000,1518
47,100.000000,142.857143,3.496389,0.050000,1.527217,0.250000,2.250000,20000.0000,0.225775,0.935022,37.135648,19.596744,0.009726,-0.000000,1518
48,100.000000,142.857143,4.392433,0.050000,1.747694,0.250000,2.750000,25000.0000,0.257993,1.000000,42.709728,0.000000,0.009775,0.000000,1518
49,100.000000,142.857143,5.445925,0.050000,2.000000,0.250000,2.750000,25000.0000,0.291431,0.851273,48.520656,-45.959562,0.009704,0.004112,1518
50,100.000000,139.742873,0.000000,0.050000,0.002700,0.250000,1.950000,16999.9999,0.000000,1.000000,0.000000,0.600213,0.000000,0.013077,1518
51,100.000000,139.742873,0.000000,0.050000,0.003090,0.250000,1.950000,16999.9999,0.000000,1.000000,0.000000,48.284402,0.000000,0.919172,1518
52,100.000000,139.742873,0.000000,0.050000,0.003536,0.250000,0.923253,6732.5276,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
53,100.000000,139.742873,0.000000,0.050000,0.004046,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,2.537631,0.000000,0.313596,1518
54,100.000000,139.742873,0.000000,0.050000,0.004630,0.250000,2.421407,21714.0740,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
55,100.000000,139.742873,0.000000,0.050000,0.005299,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
56,100.000000,139.742873,0.000000,0.050000,0.006064,0.250000,0.947922,6979.2175,0.000000,1.000000,0.000000,-47.645352,0.000000,-1.131753,1518
57,100.000000,139.742873,0.000000,0.050000,0.006939,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
58,100.000000,139.742873,0.000000,0.050000,0.007941,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
59,100.000000,139.742873,0.000000,0.050000,0.009088,0.250000,1.010000,7599.9999,0.000000,1.000000,0.000000,-66.909372,0.000000,-0.113034,1518
60,100.000000,139.742873,0.000000,0.050000,0.010399,0.250000,0.932340,6823.4003,0.000000,1.000000,0.000000,-67.504537,0.000000,-0.384782,1518
61,100.000000,139.742873,0.000000,0.050000,0.011901,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
62,100.000000,139.742873,0.000000,0.050000,0.013619,0.250000,0.950000,6999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
63,100.000000,139.742873,0.000000,0.050000,0.015585,0.250000,1.999173,17491.7299,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
64,100.000000,139.742873,0.000000,0.050000,0.017835,0.250000,0.510000,2599.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
65,100.000000,139.742873,0.000000,0.050000,0.020410,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
66,100.000000,139.742873,0.000000,0.050000,0.023356,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,-38.257345,0.000000,-1.102349,1518
67,100.000000,139.742873,0.000000,0.050000,0.026728,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,-60.625805,0.000000,-1.587469,1518
68,100.000000,139.742873,0.000000,0.050000,0.030586,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
69,100.000000,139.742873,0.000000,0.050000,0.035002,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
70,100.000000,139.742873,0.000000,0.050000,0.040055,0.250000,0.446888,1968.8773,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
71,100.000000,139.742873,0.000000,0.050000,0.045837,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
72,100.000000,139.742873,0.000000,0.050000,0.052455,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000001,27.020553,0.000000,-1.302250,1518
73,100.000000,139.742873,0.000000,0.050000,0.060027,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000005,0.000000,0.000000,0.000000,1518
74,100.000000,139.742873,0.000000,0.050000,0.068693,0.250000,2.428420,21784.2007,0.000000,1.000000,0.000035,0.000000,0.000000,0.000000,1518
75,100.000000,139.742873,0.000002,0.050000,0.078610,0.250000,5.000000,47500.0000,0.000001,0.925816,0.000193,5.177042,0.000001,-0.000000,1518
76,100.000000,139.742873,0.000010,0.050000,0.089959,0.250000,5.000000,47500.0000,0.000006,0.933431,0.000871,4.891395,0.000004,-0.000000,1518
77,100.000000,139.742873,0.000042,0.050000,0.102946,0.250000,5.000000,47500.0000,0.000024,0.938289,0.003270,4.790055,0.000013,-0.000000,1518
78,100.000000,139.742873,0.000151,0.050000,0.117808,0.250000,5.000000,47500.0000,0.000076,0.941266,0.010477,4.832055,0.000036,-0.000000,1518
79,100.000000,139.742873,0.000473,0.050000,0.134815,0.250000,5.000000,47500.0000,0.000211,0.942918,0.029224,4.994093,0.000087,-0.000000,1518
80,100.000000,139.742873,0.001315,0.050000,0.154277,0.250000,5.000000,47500.0000,0.000519,0.943568,0.072218,5.268362,0.000187,-0.000000,1518
81,100.000000,139.742873,0.003281,0.050000,0.176550,0.250000,5.000000,47500.0000,0.001148,0.943344,0.160527,5.663213,0.000364,-0.000000,1518
82,100.000000,139.742873,0.007450,0.050000,0.202037,0.250000,5.000000,47500.0000,0.002314,0.942201,0.325272,6.206861,0.000644,-0.000000,1518
83,100.000000,139.742873,0.015573,0.050000,0.231204,0.250000,5.000000,47500.0000,0.004301,0.939915,0.607840,6.955408,0.001052,-0.000000,1518
84,100.000000,139.742873,0.030271,0.050000,0.264582,0.250000,5.000000,47500.0000,0.007444,0.936049,1.058253,8.006789,0.001600,0.131068,1518
85,100.000000,139.742873,0.055203,0.050000,0.302779,0.250000,4.750000,45000.0000,0.012106,0.929894,1.731805,9.524823,0.002288,0.009050,1518
86,100.000000,139.742873,0.095171,0.050000,0.346489,0.250000,4.750000,45000.0000,0.018641,0.933502,2.684602,9.587898,0.003099,0.018333,1518
87,100.000000,139.742873,0.156166,0.050000,0.396510,0.250000,4.250000,40000.0000,0.027362,0.925968,3.968869,11.600006,0.004004,0.006733,1518
88,100.000000,139.742873,0.245336,0.050000,0.453753,0.250000,3.750000,35000.0000,0.038515,0.931607,5.628829,11.333590,0.004962,0.012514,1518
89,100.000000,139.742873,0.370903,0.050000,0.519259,0.250000,3.750000,35000.0000,0.052258,0.936659,7.697761,11.092044,0.005930,-0.000000,1518
90,100.000000,139.742873,0.542048,0.050000,0.594222,0.250000,3.250000,30000.0000,0.068653,0.931045,10.196434,13.092350,0.006864,0.012307,1518
91,100.000000,139.742873,0.768781,0.050000,0.680006,0.250000,3.250000,30000.0000,0.087677,0.937362,13.132878,12.528591,0.007725,-0.000000,1518
92,100.000000,139.742873,1.061819,0.050000,0.778176,0.250000,2.750000,25000.0000,0.109223,0.932299,16.503178,14.669378,0.008483,0.019240,1518
93,100.000000,139.742873,1.432486,0.050000,0.890517,0.250000,2.750000,25000.0000,0.133125,0.924387,20.292936,17.806897,0.009115,0.006963,1518
94,100.000000,139.742873,1.892647,0.050000,1.019077,0.250000,2.750000,25000.0000,0.159173,0.935220,24.478990,15.951439,0.009608,-0.000000,1518
95,100.000000,139.742873,2.454668,0.050000,1.166196,0.250000,2.250000,20000.0000,0.187129,0.929159,29.031102,18.917909,0.009958,0.012534,1518
96,100.000000,139.742873,3.131407,0.050000,1.334554,0.250000,2.250000,20000.0000,0.216747,0.938578,33.913343,17.151366,0.010165,-0.000000,1518
97,100.000000,139.742873,3.936225,0.050000,1.527217,0.250000,2.250000,20000.0000,0.247781,0.935022,39.085072,19.596744,0.010237,-0.000000,1518
98,100.000000,139.742873,4.883008,0.050000,1.747694,0.250000,2.750000,25000.0000,0.279996,1.000000,44.501409,0.000000,0.010185,0.000000,1518
99,100.000000,139.742873,5.986182,0.050000,2.000000,0.250000,2.750000,25000.0000,0.313176,0.851273,50.113222,-45.959562,0.010023,0.004112,1518
100,100.000000,136.780194,0.000000,0.050000,0.002700,0.250000,1.950000,16999.9999,0.000000,1.000000,0.000000,0.600213,0.000000,0.013077,1518
101,100.000000,136.780194,0.000000,0.050000,0.003090,0.250000,1.950000,16999.9999,0.000000,1.000000,0.000000,48.284402,0.000000,0.919172,1518
102,100.000000,136.780194,0.000000,0.050000,0.003536,0.250000,0.923253,6732.5276,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
103,100.000000,136.780194,0.000000,0.050000,0.004046,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,2.537631,0.000000,0.313596,1518
104,100.000000,136.780194,0.000000,0.050000,0.004630,0.250000,2.421407,21714.0740,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
105,100.000000,136.780194,0.000000,0.050000,0.005299,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
106,100.000000,136.780194,0.000000,0.050000,0.006064,0.250000,0.947922,6979.2175,0.000000,1.000000,0.000000,-47.645352,0.000000,-1.131753,1518
107,100.000000,136.780194,0.000000,0.050000,0.006939,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
108,100.000000,136.780194,0.000000,0.050000,0.007941,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
109,100.000000,136.780194,0.000000,0.050000,0.009088,0.250000,1.010000,7599.9999,0.000000,1.000000,0.000000,-66.909372,0.000000,-0.113034,1518
110,100.000000,136.780194,0.000000,0.050000,0.010399,0.250000,0.932340,6823.4003,0.000000,1.000000,0.000000,-67.504537,0.000000,-0.384782,1518
111,100.000000,136.780194,0.000000,0.050000,0.011901,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
112,100.000000,136.780194,0.000000,0.050000,0.013619,0.250000,0.950000,6999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
113,100.000000,136.780194,0.000000,0.050000,0.015585,0.250000,1.999173,17491.7299,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
