tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
43163,61.252846,81.309156,14.575986,0.034337,1.767328,0.602418,0.602936,10.8158,0.548758,0.534062,32.242968,32.367352,0.008072,0.008096,713
43164,40.626892,41.885590,6.274118,0.044835,1.461336,0.289585,0.289711,595.1741,0.608355,0.608350,18.865693,18.865568,0.027010,0.027000,1518
43165,55.542693,70.960175,9.484403,0.059282,1.185473,0.544969,0.545103,1.3467,0.500907,0.501762,24.125795,24.125675,0.012105,0.012102,713
43166,34.864940,41.773023,8.176600,0.046906,1.403420,0.593803,0.593915,48.7182,0.574692,0.574985,16.187907,16.185517,0.015980,0.015975,713
43167,36.903883,26.308833,13.850953,0.032037,1.486849,0.423675,0.423921,1.2274,0.842689,0.841034,10.827860,10.903561,0.012621,0.012699,391
43168,68.673139,54.670086,18.043961,0.045797,1.579107,0.145581,0.165512,0.8006,0.958480,0.934457,7.664930,11.135389,0.007070,0.008980,552
43169,69.782023,88.817637,9.874723,0.040156,0.674579,0.671878,0.675262,0.7703,0.455371,0.416784,22.721720,22.365511,0.010295,0.010083,552
43170,74.578577,80.153558,0.708500,0.029916,0.293383,0.144160,0.146777,0.0591,0.220115,0.172627,11.964398,10.323338,0.050861,0.043038,552
43171,58.778563,78.388937,1.630952,0.079261,0.855887,0.265983,0.267313,1.4836,0.220269,0.200155,16.112422,15.230916,0.020486,0.019270,391
43172,41.034023,56.734496,3.522640,0.068552,1.632328,0.318902,0.319066,2.4611,0.375695,0.378469,19.891321,19.936619,0.022694,0.022734,713
43173,65.901267,91.051122,2.930241,0.065189,1.216300,0.285770,0.292606,33.8362,0.268771,0.208599,23.976347,20.863822,0.015883,0.013507,714
43174,47.145896,50.191407,3.796338,0.073198,0.394428,0.380410,0.380411,1.6369,0.491340,0.491424,11.809613,11.809675,0.035410,0.035400,714
43175,75.517315,86.707089,16.399112,0.069086,0.954218,0.635751,0.636988,0.0173,0.576980,0.554098,28.879729,29.158208,0.008348,0.008412,391
43176,21.586288,28.065266,3.191357,0.031610,0.833269,0.640935,0.640938,1.2816,0.455781,0.456859,7.812713,7.815020,0.031394,0.031398,391
43177,40.420533,35.470119,14.125138,0.060205,1.811221,0.484255,0.484478,10.0811,0.756047,0.755937,17.061595,17.065358,0.011906,0.011903,713
43178,36.582206,30.876064,7.737675,0.060504,0.817688,0.234412,0.235420,0.0722,0.872733,0.871121,6.895453,6.959044,0.026882,0.026989,552
43179,54.951345,62.264497,3.179117,0.054220,1.531170,0.153724,0.153804,4.5723,0.450149,0.450571,26.914832,26.918308,0.037868,0.037853,391
43180,78.807109,102.325168,3.112673,0.026436,0.725899,0.350401,0.370391,1195.2401,0.254237,0.171745,21.526605,17.103083,0.013627,0.010256,230
43181,39.303198,48.140978,10.081766,0.024311,1.669594,0.618762,0.618839,1.4993,0.578024,0.578373,19.871463,19.867818,0.012452,0.012448,552
43182,36.585072,40.397253,4.398560,0.023909,0.607242,0.497921,0.497915,2.9291,0.490411,0.490511,11.370232,11.370314,0.028096,0.028096,552
43183,30.596379,41.707205,0.017883,0.073924,0.563932,0.158980,0.215646,0.8845,0.014408,0.109987,0.840517,4.324545,0.010015,0.030772,552
43184,44.628113,45.504160,13.369607,0.074801,1.316972,0.601948,0.602183,356.4539,0.677192,0.677181,18.381734,18.381667,0.011642,0.011642,1035
43185,33.290316,43.945017,4.699102,0.012883,0.987002,0.594105,0.594112,0.5343,0.438888,0.440166,13.039209,13.045576,0.020065,0.020069,552
43186,22.573289,22.687297,1.991733,0.064540,0.521451,0.258353,0.258361,2.1015,0.597418,0.597397,6.308110,6.308134,0.091893,0.091880,552
43187,42.948027,56.561729,0.012556,0.030852,0.118567,0.321505,0.472583,0.5127,0.008225,0.114513,0.332173,2.864268,0.004724,0.021849,552
43188,39.644187,52.471811,7.863133,0.048231,1.898321,0.489265,0.489415,0.3100,0.522735,0.523866,21.755468,21.751842,0.014904,0.014897,552
43189,78.634313,104.713598,7.314132,0.040186,1.593045,0.343965,0.355805,26.1697,0.383914,0.294419,37.906285,34.212545,0.011188,0.009764,874
43190,73.666927,67.662710,21.036281,0.075038,1.380532,0.443148,0.443441,200.1170,0.733220,0.738701,28.447136,28.147155,0.008568,0.008472,1518
43191,52.739117,59.819714,6.861029,0.055786,0.997385,0.399859,0.399982,68.3629,0.509387,0.509621,21.006521,21.006246,0.018937,0.018926,874
43192,32.671652,30.174326,8.829258,0.022015,1.165827,0.537368,0.537456,3.1784,0.681319,0.681284,12.593495,12.593854,0.018832,0.018829,552
43193,24.181176,19.068004,6.217214,0.014846,0.766673,0.372940,0.373066,1.2286,0.822681,0.821663,5.503551,5.523612,0.032918,0.033019,552
43194,52.417376,59.169275,9.134640,0.072423,0.911520,0.519463,0.519611,0.3643,0.554396,0.554460,19.779087,19.778558,0.015203,0.015207,391
43195,40.948085,55.928209,0.000000,0.049789,0.143517,0.131887,0.200000,0.8639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,391
43196,53.787622,71.290899,3.631728,0.038071,0.774765,0.440321,0.440374,0.8722,0.323834,0.325787,17.014757,17.056464,0.017239,0.017269,391
43197,20.425503,26.191516,3.983892,0.077690,1.260776,0.564833,0.565043,0.0583,0.531680,0.532540,9.120732,9.119124,0.030699,0.030682,391
43198,53.967706,49.889834,8.177322,0.029941,1.776605,0.148746,0.148797,1.2571,0.777481,0.777283,21.438104,21.448603,0.027854,0.027847,713
43199,41.346251,33.394592,13.817356,0.042045,1.126706,0.540053,0.540084,3.3353,0.770913,0.770421,13.296718,13.312437,0.012783,0.012786,391
43200,64.277778,64.298082,1.764846,0.060761,0.128613,0.165124,0.165122,1.2152,0.562078,0.562045,9.084731,9.084811,0.103537,0.103525,391
43201,52.884269,55.266332,4.875026,0.063490,1.726497,0.107900,0.108218,442.2356,0.703081,0.702686,24.047229,24.061345,0.046156,0.046047,1518
43202,26.747861,26.718023,3.449620,0.079395,0.984692,0.225116,0.225244,573.4854,0.679630,0.679194,9.496417,9.501639,0.059879,0.059622,1518
43203,67.304968,66.009815,20.050488,0.041996,1.697641,0.517085,0.517208,0.0137,0.681367,0.681796,31.304039,31.285735,0.007872,0.007866,552
43204,56.067678,40.110739,18.313104,0.046820,1.083562,0.251072,0.270359,1.1189,0.945892,0.931000,6.409012,7.818891,0.007494,0.008515,713
43205,73.612403,78.831738,10.456812,0.054266,0.446779,0.604433,0.604890,0.8164,0.536834,0.524034,19.545688,19.593770,0.013357,0.013383,713
43206,44.340893,37.393272,12.460770,0.064682,1.086123,0.410421,0.410533,14.3927,0.781282,0.780953,13.636850,13.648426,0.015560,0.015568,713
43207,70.473718,58.478367,19.280047,0.068848,0.786187,0.453617,0.453699,0.0169,0.788022,0.788590,18.108126,18.079438,0.010224,0.010206,552
43208,68.830169,82.591796,6.072466,0.019516,0.927410,0.390396,0.391835,0.0248,0.401802,0.369521,25.638662,25.016243,0.014947,0.014530,552
43209,62.749021,56.365778,15.985432,0.063796,0.860516,0.500562,0.500598,118.4028,0.719526,0.719473,19.610390,19.611780,0.011563,0.011574,874
43210,74.934181,52.853737,29.561700,0.042478,1.259703,0.503096,0.503354,0.2134,0.840208,0.838482,20.445961,20.591691,0.005746,0.005778,391
43211,61.310603,60.783559,17.555316,0.016997,1.094313,0.676190,0.676276,0.4976,0.652537,0.652533,23.692909,23.692642,0.008518,0.008517,391
