tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
1600,63.216075,74.664387,1.394874,0.056903,0.234056,0.377389,0.378653,44.0962,0.227411,0.208250,9.227792,8.770784,0.026142,0.024774,713
1601,41.823531,51.425252,0.108716,0.047740,0.460312,0.165884,0.187373,12.6363,0.056508,0.086673,3.224668,4.495048,0.024143,0.029503,713
1602,70.364482,71.329854,12.120114,0.028850,0.991370,0.420829,0.420930,32.0557,0.596865,0.595518,27.121983,27.144731,0.013130,0.013138,716
1603,66.334417,68.407316,13.223944,0.038253,0.964818,0.507637,0.507743,184.1918,0.603193,0.601941,25.119384,25.140347,0.011656,0.011663,1037
1604,49.872151,64.298473,1.824473,0.036420,1.221893,0.242034,0.242133,0.9890,0.257992,0.259799,17.810129,17.874191,0.024213,0.024287,713
1605,44.364928,56.714002,1.990348,0.040977,0.418686,0.472439,0.472567,1.2755,0.276139,0.277585,9.598120,9.622506,0.024653,0.024708,713
1606,41.208649,47.371268,3.079132,0.024371,0.443884,0.467754,0.467750,3552.7257,0.398715,0.399052,10.598077,10.600345,0.030058,0.030059,1518
1607,25.938117,23.084068,7.905642,0.033859,1.297153,0.539218,0.539314,0.6563,0.715117,0.715032,10.027430,10.028636,0.021309,0.021307,552
1608,78.784060,69.943954,10.228813,0.048203,0.157370,0.330395,0.335269,0.8679,0.848839,0.876408,7.324539,6.386447,0.022696,0.019433,552
1609,26.045171,31.130906,0.011115,0.054808,0.143645,0.205461,0.272290,0.2077,0.015756,0.101405,0.389958,1.752853,0.019478,0.053751,392
1610,27.638713,22.745848,9.205950,0.047727,1.444373,0.470549,0.470623,1778.0486,0.773126,0.772750,10.008950,10.018106,0.019278,0.019284,1518
1611,43.858099,41.025695,6.060243,0.039226,0.428278,0.370731,0.370728,151.3599,0.679292,0.679241,10.273637,10.274145,0.033639,0.033641,230
1612,57.906491,50.956725,18.305149,0.026790,1.428116,0.536261,0.536348,0.9880,0.718918,0.718816,23.337989,23.341621,0.009088,0.009088,553
1613,20.891367,21.659919,2.232095,0.037965,0.566715,0.378266,0.378395,0.2192,0.536280,0.536289,6.248251,6.248225,0.066783,0.066762,553
1614,46.135349,45.692118,10.527280,0.047435,1.125813,0.483309,0.483424,0.0171,0.647793,0.647766,18.172935,18.173159,0.015692,0.015695,552
1615,34.997539,39.430676,3.368101,0.034790,0.919273,0.344423,0.344423,0.9815,0.460488,0.460678,13.320874,13.321473,0.034350,0.034351,393
1616,38.826929,31.034018,9.059578,0.024221,0.399322,0.423228,0.423635,0.2845,0.843165,0.842076,5.892032,5.919539,0.023126,0.023211,393
1617,59.643644,81.438890,6.722226,0.022082,1.121550,0.503698,0.504474,48.7427,0.393294,0.372996,24.292151,23.910741,0.012088,0.011880,874
