tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
36,1.021924,1.000000,0.022467,0.052500,0.008653,0.117731,0.189396,365.0039,0.978683,0.757561,0.004858,0.029714,4.566501,1.426074,230
37,1.019199,1.000000,0.019873,0.052500,0.008653,0.124149,0.165654,316.7431,0.954661,0.776202,0.009041,0.028347,8.102120,-0.753391,230
38,1.017842,1.000000,0.018562,0.052500,0.008653,0.121917,0.152943,312.1956,0.945764,0.789531,0.010416,0.027323,9.531221,0.401898,230
39,1.016488,1.000000,0.017274,0.052500,0.008653,0.120522,0.211668,300.4101,0.933818,0.660123,0.012157,0.034641,11.282980,0.392399,230
40,1.015813,1.000000,0.016645,0.052500,0.008653,0.120420,0.195006,261.3631,0.926021,0.659328,0.013236,0.034648,12.311140,0.720203,230
41,1.015138,1.000000,0.015983,0.052500,0.008653,0.117571,0.177450,220.5183,0.922318,0.658773,0.013729,0.034647,13.096095,1.090041,230
42,1.014464,1.000000,0.015342,0.052500,0.008653,0.116027,0.162420,189.9388,0.915913,0.658018,0.014566,0.034653,14.097709,1.480896,230
43,1.013120,1.000000,0.014142,0.052500,0.008653,0.117077,0.153577,159.1494,0.893259,0.655635,0.017341,0.034698,16.677712,-1.680854,230
44,1.012449,1.000000,0.013570,0.052500,0.008653,0.118311,0.149985,106.4535,0.879198,0.654053,0.018928,0.034734,18.037800,-1.223933,230
45,1.011779,1.000000,0.012813,0.052500,0.008653,0.109399,0.140619,81.6298,0.885020,0.654279,0.018266,0.034703,18.849734,-0.586276,230
46,1.011110,1.000000,0.012090,0.052500,0.008653,0.102240,0.132281,57.7775,0.887677,0.654208,0.017952,0.034683,19.849412,0.101149,230
47,1.010442,1.000000,0.011487,0.052500,0.008653,0.101509,0.127645,43.8494,0.875529,0.652763,0.019291,0.034713,21.512129,0.760272,230
48,1.009774,1.000000,0.010918,0.052500,0.008653,0.102006,0.124058,31.1923,0.859420,0.650769,0.020965,0.034763,23.295763,1.458005,230
49,1.009108,1.000000,0.010310,0.052500,0.008653,0.100198,0.119192,19.9944,0.847589,0.649108,0.022119,0.034800,25.054666,-1.718991,230
50,1.008442,1.000000,0.009730,0.052500,0.008653,0.099259,0.115174,11.3709,0.832553,0.646890,0.023508,0.034856,26.915088,-0.828321,230
51,1.007113,1.000000,0.008577,0.052500,0.008653,0.096566,0.107211,5.8280,0.800713,0.641594,0.026171,0.034994,30.881052,1.313329,230
52,1.006450,1.000000,0.008051,0.052500,0.008653,0.096502,0.104665,2.2495,0.779753,0.637659,0.027738,0.035103,32.795019,-1.479945,230
53,1.005788,1.000000,0.007605,0.052500,0.008653,0.098641,0.104419,0.7850,0.752730,0.631936,0.029557,0.035264,34.233159,-0.284373,230
54,1.005127,1.000000,0.007022,0.052500,0.008653,0.095604,0.099989,0.1169,0.735838,0.627747,0.030575,0.035371,36.584920,1.438128,230
55,1.004466,1.000000,0.006472,0.052500,0.008653,0.093337,0.096456,0.0183,0.715649,0.622254,0.031687,0.035511,38.887255,-0.624494,230
56,1.003807,1.000000,0.005982,0.052500,0.008653,0.092525,0.094524,0.0079,0.690960,0.614735,0.032897,0.035700,40.780196,1.449502,230
57,1.003148,1.000000,0.005538,0.052500,0.008653,0.092602,0.093739,1745.9654,0.663475,0.605046,0.034055,0.035928,42.236642,-0.306695,391
58,1.002490,1.000000,0.005095,0.052500,0.008653,0.092151,0.092734,1109.7909,0.635878,0.593638,0.035022,0.036173,43.705824,-1.664442,391
59,1.001834,1.000000,0.004659,0.052500,0.008653,0.091380,0.091605,690.7629,0.607651,0.579947,0.035815,0.036429,45.131643,1.442337,391
60,1.001177,1.000000,0.004165,0.052500,0.008653,0.088489,0.088567,716.6526,0.580147,0.564128,0.036401,0.036673,47.430102,1.696186,391
61,1.000522,1.000000,0.003776,0.052500,0.008653,0.087974,0.087986,415.0524,0.549107,0.542937,0.036847,0.036914,48.355772,1.894532,391
62,0.999868,1.000000,0.003388,0.052500,0.008653,0.086911,0.086909,310.2643,0.517504,0.516805,0.037069,0.037072,49.306198,-1.061397,391
63,0.999214,1.000000,0.003013,0.052500,0.008653,0.085640,0.085641,0.1344,0.484983,0.483998,0.037054,0.037051,50.083607,0.802111,230
64,0.998562,1.000000,0.002704,0.052500,0.008653,0.085556,0.085569,1.7663,0.452322,0.443638,0.036791,0.036686,49.842064,-1.686652,230
65,0.997910,1.000000,0.002389,0.052500,0.008653,0.084707,0.084884,8.5516,0.419198,0.393511,0.036270,0.035705,49.693085,0.300389,230
66,0.997259,1.000000,0.002087,0.052500,0.008653,0.083602,0.084457,25.3718,0.385658,0.331931,0.035477,0.033673,49.313713,1.483827,230
67,0.996609,1.000000,0.001773,0.052500,0.008653,0.081455,0.083992,37.6334,0.350274,0.264257,0.034347,0.030321,49.065605,-1.439107,230
68,0.995960,1.000000,0.001537,0.052500,0.008653,0.080896,0.084659,51.0586,0.317787,0.220555,0.033034,0.027471,47.577628,0.011606,230
69,0.995311,1.000000,0.001302,0.052500,0.008653,0.079652,0.084758,72.0150,0.284572,0.181313,0.031409,0.024406,46.004727,0.943090,230
70,0.994664,1.000000,0.001132,0.052500,0.008653,0.079813,0.087014,94.5698,0.255971,0.146892,0.029769,0.021277,43.570873,1.707891,230
71,0.994017,1.000000,0.000949,0.052500,0.008653,0.078874,0.088331,121.5612,0.225917,0.117300,0.027795,0.018215,41.218888,-1.389892,230
72,0.993371,1.000000,0.000767,0.052500,0.008653,0.077119,0.089275,174.9906,0.194826,0.092637,0.025462,0.015367,38.669436,-0.004593,230
73,0.992726,1.000000,0.000636,0.052500,0.008653,0.076583,0.094082,272.5682,0.169156,0.072990,0.023293,0.012893,35.669016,-1.762432,230
74,0.992082,1.000000,0.000532,0.052500,0.008653,0.076467,0.103724,426.8905,0.146807,0.058665,0.021209,0.011000,32.569079,1.833105,230
75,0.991438,1.000000,0.000435,0.052500,0.008653,0.075959,0.118648,623.5624,0.125255,0.050390,0.019011,0.010003,29.427764,-0.477580,230
76,0.990796,1.000000,0.000350,0.052500,0.008653,0.075374,0.137730,790.8789,0.105547,0.049615,0.016822,0.010400,26.274601,0.486257,230
77,0.990154,1.000000,0.000272,0.052500,0.008653,0.074326,0.153414,870.1289,0.086600,0.058788,0.014534,0.012981,23.050470,-1.396425,230
78,0.989513,1.000000,0.000214,0.052500,0.008653,0.073735,0.160748,870.5862,0.071137,0.081783,0.012513,0.018981,20.030263,0.806263,230
79,0.988873,1.000000,0.000168,0.052500,0.008653,0.073382,0.160441,836.3801,0.058294,0.124321,0.010712,0.030264,17.253257,-0.465379,230
80,0.988234,1.000000,0.000129,0.052500,0.008653,0.072833,0.156471,2266.0101,0.046814,0.194533,0.008994,0.049575,14.614177,1.332019,230
81,0.987596,1.000000,0.000107,0.052500,0.008653,0.073399,0.300000,2266.0101,0.039354,0.000000,0.007812,0.000000,12.611921,0.000000,230
82,0.986958,1.000000,0.000084,0.052500,0.008653,0.073399,0.300000,486.8719,0.031954,0.000000,0.006582,0.000000,10.638899,0.000000,230
83,1.034369,1.000000,0.035027,0.052500,0.011390,0.141420,0.210254,469.3538,0.988875,0.855302,0.003229,0.025131,1.873400,-1.321289,230
84,1.032972,1.000000,0.033615,0.052500,0.011390,0.131834,0.276703,376.1166,0.990741,0.730972,0.002747,0.036385,1.714370,1.683983,230
85,1.026039,1.000000,0.026698,0.052500,0.011390,0.112562,0.196444,312.6675,0.985938,0.754133,0.003923,0.034488,2.906281,-0.205129,230
86,1.024664,1.000000,0.025268,0.052500,0.011390,0.083383,0.181921,281.1490,0.997519,0.762234,0.000843,0.033822,0.845312,0.411412,230
87,1.022607,1.000000,0.023284,0.052500,0.011390,0.103970,0.165290,251.7847,0.980966,0.774915,0.005067,0.032738,4.091252,1.453315,230
88,1.019199,1.000000,0.020093,0.052500,0.011390,0.115637,0.141009,196.8398,0.944700,0.804214,0.012152,0.030063,8.881925,-0.313940,230
89,1.016488,1.000000,0.017500,0.052500,0.011390,0.111343,0.160030,168.1319,0.923994,0.659585,0.015513,0.039767,11.838645,0.289069,230
90,1.015813,1.000000,0.016804,0.052500,0.011390,0.106704,0.153639,150.3903,0.924481,0.659309,0.015427,0.039753,12.301256,0.637903,230
91,1.015138,1.000000,0.016361,0.052500,0.011390,0.116516,0.154128,127.0110,0.896622,0.656939,0.019479,0.039831,14.242850,0.898067,230
92,1.013792,1.000000,0.015106,0.052500,0.011390,0.113693,0.144960,97.4904,0.881834,0.655018,0.021410,0.039862,16.085785,1.663893,230
93,1.013120,1.000000,0.014493,0.052500,0.011390,0.112619,0.140734,84.9868,0.872905,0.653845,0.022518,0.039886,17.102078,-1.911291,230
94,1.012449,1.000000,0.013881,0.052500,0.011390,0.111335,0.136513,65.3100,0.863786,0.652592,0.023605,0.039913,18.158703,-1.448933,230
95,1.011110,1.000000,0.012672,0.052500,0.011390,0.108699,0.128383,51.0031,0.843687,0.649677,0.025857,0.039982,20.427967,-0.399221,230
96,1.010442,1.000000,0.012108,0.052500,0.011390,0.108538,0.125351,36.6258,0.829991,0.647623,0.027290,0.040040,21.620436,0.170834,230
97,1.009774,1.000000,0.011460,0.052500,0.011390,0.105026,0.120065,28.0739,0.822962,0.646326,0.027985,0.040067,22.942247,0.880218,230
98,1.009108,1.000000,0.010884,0.052500,0.011390,0.103940,0.116641,19.2160,0.809690,0.644085,0.029255,0.040130,24.266127,1.596802,230
99,1.008442,1.000000,0.010462,0.052500,0.011390,0.107502,0.117251,12.3264,0.785400,0.639764,0.031414,0.040273,25.226509,-1.790400,230
100,1.007777,1.000000,0.009796,0.052500,0.011390,0.102885,0.111384,6.9448,0.778008,0.638087,0.032011,0.040310,26.895677,-0.795236,230
101,1.007113,1.000000,0.009315,0.052500,0.011390,0.103773,0.110304,3.8428,0.757890,0.633797,0.033574,0.040444,28.003990,0.058825,230
102,1.006450,1.000000,0.008776,0.052500,0.011390,0.102534,0.107634,1.6739,0.741400,0.629828,0.034744,0.040561,29.369172,1.111282,230
103,1.005788,1.000000,0.008322,0.052500,0.011390,0.103400,0.107063,0.4950,0.719952,0.624216,0.036137,0.040730,30.330733,-1.862380,230
104,1.005127,1.000000,0.007712,0.052500,0.011390,0.099604,0.102411,0.0742,0.706306,0.620133,0.036937,0.040839,32.225908,-0.355714,230
