tick,S,K,moneyness_SK,moneyness_KS,T,r,true_iv,fpga_iv,abs_err,true_delta,fpga_delta,delta_err,true_vega,fpga_vega,vega_err,true_gamma,fpga_gamma,gamma_err,is_liquid
32,55.4228,50.5258,1.0969,0.9116,0.1770,0.0480,0.486558,0.486555,0.000003,0.724337,0.724215,0.000121,7.790272,7.791787,0.001515,0.029443,0.029449,0.000006,1
33,38.8128,36.1960,1.0723,0.9326,0.2768,0.0291,0.502672,0.502665,0.000007,0.665157,0.664998,0.000159,7.437966,7.439225,0.001259,0.035486,0.035429,0.000056,1
34,40.6220,36.6925,1.1071,0.9033,0.2424,0.0306,0.484983,0.484980,0.000004,0.717853,0.717532,0.000322,6.757386,6.760948,0.003562,0.034833,0.034795,0.000038,1
35,73.3366,54.4549,1.3467,0.7425,0.2962,0.0558,0.473728,0.482162,0.008434,0.911110,0.906165,0.004945,6.422344,6.700549,0.278205,0.008509,0.008740,0.000231,0
36,52.1470,52.2238,0.9985,1.0015,0.9491,0.0499,0.179591,0.179616,0.000025,0.636684,0.636555,0.000129,19.066097,19.068137,0.002040,0.041133,0.041067,0.000066,1
37,25.6288,32.1748,0.7965,1.2554,0.9790,0.0278,0.222988,0.223267,0.000278,0.212570,0.214287,0.001718,7.360393,7.394893,0.034500,0.051333,0.051502,0.000168,0
38,78.4729,75.2826,1.0424,0.9593,0.4178,0.0577,0.226785,0.227151,0.000366,0.698748,0.718046,0.019297,17.668142,17.130650,0.537492,0.030284,0.029320,0.000965,1
39,20.8936,15.4133,1.3556,0.7377,0.4213,0.0551,0.451364,0.455304,0.003940,0.896899,0.893545,0.003354,2.433557,2.493706,0.060150,0.029316,0.029795,0.000480,0
40,28.2235,20.5294,1.3748,0.7274,0.6678,0.0557,0.454123,0.455329,0.001206,0.873583,0.871393,0.002190,4.785221,4.844864,0.059643,0.019809,0.019995,0.000186,0
41,44.5167,46.6090,0.9551,1.0470,0.4895,0.0551,0.347772,0.347914,0.000142,0.517493,0.517517,0.000024,12.413843,12.413810,0.000032,0.036795,0.036781,0.000014,1
42,26.7385,22.7337,1.1762,0.8502,0.7814,0.0237,0.160279,0.164269,0.003991,0.911006,0.905790,0.005216,3.806189,3.979144,0.172955,0.042510,0.043543,0.001033,0
43,44.5094,59.4891,0.7482,1.3366,0.6494,0.0475,0.538256,0.538298,0.000041,0.351665,0.353433,0.001769,13.308497,13.332309,0.023812,0.019218,0.019251,0.000033,0
44,75.4662,64.9273,1.1623,0.8604,0.9013,0.0202,0.198036,0.199021,0.000985,0.839111,0.856186,0.017075,17.495164,16.242747,1.252417,0.017211,0.015929,0.001282,0
45,58.5083,67.8676,0.8621,1.1600,1.2409,0.0358,0.547363,0.547457,0.000094,0.553464,0.553654,0.000190,25.767149,25.765374,0.001775,0.011082,0.011080,0.000003,1
46,30.1700,26.7276,1.1288,0.8859,0.1162,0.0379,0.264640,0.278153,0.013513,0.924600,0.916260,0.008340,1.461947,1.588785,0.126838,0.052214,0.054790,0.002576,1
47,39.2175,29.9933,1.3075,0.7648,0.2133,0.0570,0.268155,0.371481,0.103326,0.989975,0.930922,0.059052,0.483761,2.428315,1.944554,0.005500,0.017218,0.011718,0
48,79.6887,78.6162,1.0136,0.9865,0.4938,0.0543,0.325506,0.325540,0.000034,0.614398,0.619747,0.005349,21.415165,21.325708,0.089456,0.020980,0.020903,0.000077,1
49,56.8255,51.2158,1.1095,0.9013,0.5119,0.0527,0.247183,0.247239,0.000056,0.796323,0.796110,0.000213,11.507485,11.514569,0.007084,0.028163,0.028174,0.000011,1
