tick,S,K,moneyness_SK,moneyness_KS,T,r,true_iv,fpga_iv,abs_err,true_delta,fpga_delta,delta_err,true_vega,fpga_vega,vega_err,true_gamma,fpga_gamma,gamma_err,is_liquid
2794,74.3345,54.2939,1.3691,0.7304,0.7554,0.0386,0.475462,0.475891,0.000430,0.850213,0.849402,0.000810,15.049160,15.105711,0.056551,0.007583,0.007605,0.000021,0
2795,68.9218,95.0785,0.7249,1.3795,0.9138,0.0338,0.265299,0.291050,0.025751,0.153866,0.109550,0.044315,15.623010,12.365123,3.257887,0.013567,0.009869,0.003698,0
2796,31.0764,33.2373,0.9350,1.0695,0.4939,0.0412,0.222146,0.222145,0.000001,0.412075,0.412157,0.000082,8.500289,8.500615,0.000326,0.080224,0.080227,0.000003,1
2797,66.2227,78.1954,0.8469,1.1808,0.7271,0.0369,0.489073,0.489676,0.000603,0.450044,0.430545,0.019499,22.351184,22.185621,0.165563,0.014332,0.014211,0.000120,0
2798,58.2134,50.5901,1.1507,0.8690,0.8610,0.0477,0.301860,0.301906,0.000046,0.784556,0.784275,0.000281,15.801854,15.813560,0.011706,0.017941,0.017952,0.000010,0
2799,52.1488,38.5340,1.3533,0.7389,0.2144,0.0238,0.441464,0.478554,0.037090,0.946020,0.929802,0.016218,2.646512,3.275823,0.629311,0.010283,0.011779,0.001496,0
2800,46.8038,33.3266,1.4044,0.7120,1.3743,0.0433,0.360822,0.361819,0.000997,0.875934,0.873725,0.002209,11.235775,11.380685,0.144909,0.010343,0.010448,0.000105,0
2801,37.0843,34.0247,1.0899,0.9175,0.9192,0.0382,0.152246,0.152343,0.000097,0.816936,0.816205,0.000730,9.428738,9.452321,0.023583,0.048990,0.048966,0.000024,1
2802,57.9809,46.0342,1.2595,0.7940,0.5888,0.0377,0.455954,0.456064,0.000110,0.815369,0.814495,0.000874,11.861393,11.896422,0.035029,0.013142,0.013175,0.000033,0
2803,22.1790,29.0147,0.7644,1.3082,1.2873,0.0491,0.307256,0.307298,0.000042,0.339078,0.340822,0.001744,9.210687,9.228649,0.017961,0.047341,0.047426,0.000085,0
2804,62.6594,71.6253,0.8748,1.1431,0.5096,0.0352,0.305181,0.305312,0.000131,0.336296,0.325821,0.010475,16.319967,16.114934,0.205033,0.026729,0.026384,0.000346,1
2805,58.5028,52.5063,1.1142,0.8975,1.4436,0.0287,0.473838,0.473927,0.000089,0.707949,0.707873,0.000077,24.140611,24.143070,0.002459,0.010311,0.010310,0.000001,1
2806,63.3955,46.7916,1.3548,0.7381,1.3935,0.0595,0.348932,0.349981,0.001049,0.873796,0.871812,0.001984,15.508829,15.685112,0.176283,0.007936,0.007994,0.000058,0
2807,33.0540,40.5820,0.8145,1.2278,0.3985,0.0460,0.280754,0.282026,0.001273,0.167122,0.169759,0.002637,5.222454,5.275574,0.053120,0.042726,0.042924,0.000198,0
2808,51.2094,43.4509,1.1786,0.8485,0.1299,0.0334,0.338787,0.354320,0.015532,0.925361,0.915907,0.009454,2.603123,2.859762,0.256639,0.022554,0.023785,0.001230,0
2809,44.3922,41.3234,1.0743,0.9309,0.9579,0.0361,0.236673,0.236683,0.000010,0.717203,0.717137,0.000066,14.696119,14.697447,0.001328,0.032893,0.032894,0.000001,1
2810,44.3483,58.9422,0.7524,1.3291,1.3671,0.0574,0.426644,0.426703,0.000059,0.435010,0.436620,0.001610,20.411559,20.424938,0.013378,0.017793,0.017799,0.000006,0
2811,44.9544,36.5349,1.2304,0.8127,1.4278,0.0475,0.213369,0.214839,0.001471,0.886262,0.884028,0.002235,10.344656,10.497147,0.152491,0.016803,0.016927,0.000124,0
2812,32.3490,36.4139,0.8884,1.1257,0.7891,0.0558,0.165638,0.165651,0.000013,0.332995,0.333964,0.000970,10.444395,10.456212,0.011817,0.076358,0.076222,0.000136,1
2813,49.9240,38.2957,1.3036,0.7671,1.3814,0.0404,0.316985,0.317383,0.000398,0.852615,0.851295,0.001320,13.520929,13.604184,0.083255,0.012389,0.012444,0.000055,0
2814,54.8186,40.4599,1.3549,0.7381,0.6192,0.0530,0.503941,0.504460,0.000519,0.852455,0.850827,0.001628,9.947006,10.021936,0.074930,0.010608,0.010676,0.000067,0
2815,21.2268,21.1207,1.0050,0.9950,0.1898,0.0317,0.374934,0.375157,0.000223,0.559287,0.559271,0.000016,3.648577,3.648581,0.000003,0.113784,0.113717,0.000066,1
2816,27.5533,21.2763,1.2950,0.7722,0.5060,0.0402,0.402889,0.403926,0.001037,0.867876,0.866152,0.001724,4.193008,4.232062,0.039054,0.027091,0.027269,0.000178,0
2817,27.3556,37.7239,0.7252,1.3790,0.3665,0.0435,0.425973,0.431814,0.005841,0.145591,0.151803,0.006212,3.784839,3.892608,0.107769,0.032398,0.032917,0.000519,0
2818,56.6295,53.0087,1.0683,0.9361,1.0157,0.0530,0.393660,0.393692,0.000032,0.691678,0.691633,0.000045,20.087064,20.087958,0.000894,0.015665,0.015663,0.000003,1
2819,72.8477,58.5910,1.2433,0.8043,1.1235,0.0366,0.467502,0.467557,0.000055,0.779452,0.782388,0.002936,22.895981,22.719823,0.176157,0.008214,0.008150,0.000064,0
2820,61.1048,62.9597,0.9705,1.0304,0.9747,0.0375,0.249100,0.249207,0.000107,0.559639,0.559640,0.000001,23.797835,23.797710,0.000125,0.026250,0.026239,0.000011,1
2821,42.7314,56.2026,0.7603,1.3153,0.7599,0.0439,0.336639,0.336839,0.000200,0.250351,0.252451,0.002100,11.846313,11.898463,0.052150,0.025360,0.025451,0.000092,0
2822,64.8824,83.7580,0.7746,1.2909,0.6710,0.0456,0.242569,0.252711,0.010142,0.151107,0.121570,0.029537,12.453057,10.736294,1.716763,0.018174,0.014987,0.003187,0
2823,74.7264,54.9154,1.3608,0.7349,1.4662,0.0218,0.230789,0.235265,0.004477,0.912516,0.909249,0.003267,14.386556,14.823741,0.437185,0.007614,0.007701,0.000087,0
2824,45.2034,58.5684,0.7718,1.2957,0.5863,0.0543,0.441073,0.441133,0.000060,0.307188,0.309071,0.001883,12.161988,12.194422,0.032434,0.023018,0.023050,0.000032,0
2825,32.8855,24.4362,1.3458,0.7431,0.5197,0.0457,0.458286,0.459526,0.001240,0.871992,0.869869,0.002123,4.961924,5.020911,0.058988,0.019263,0.019428,0.000165,0
2826,46.9521,37.0973,1.2656,0.7901,1.0860,0.0343,0.186976,0.196919,0.009943,0.932882,0.922679,0.010203,6.360125,7.127325,0.767200,0.014208,0.015225,0.001017,0
2827,68.2241,67.8933,1.0049,0.9952,0.5316,0.0576,0.201332,0.201339,0.000007,0.623685,0.624386,0.000701,18.883284,18.872025,0.011259,0.037904,0.037836,0.000069,1
2828,75.8196,56.8493,1.3337,0.7498,0.9070,0.0229,0.411263,0.411641,0.000378,0.837486,0.842594,0.005108,17.748297,17.383321,0.364976,0.008277,0.008103,0.000174,0
2829,72.0768,68.7247,1.0488,0.9535,1.4598,0.0539,0.421065,0.421167,0.000102,0.692361,0.695623,0.003262,30.620222,30.475550,0.144672,0.009589,0.009541,0.000048,1
2830,56.9079,63.9469,0.8899,1.1237,0.7265,0.0329,0.340167,0.340165,0.000002,0.430604,0.430802,0.000198,19.057218,19.058783,0.001565,0.023812,0.023814,0.000002,1
2831,34.2589,26.9358,1.2719,0.7862,1.4126,0.0447,0.188173,0.196379,0.008206,0.929171,0.920572,0.008599,5.516736,6.049565,0.532829,0.017683,0.018689,0.001006,0
2832,76.1473,85.8150,0.8873,1.1270,0.7555,0.0341,0.358527,0.360317,0.001790,0.442317,0.403647,0.038670,26.128269,25.630607,0.497662,0.016636,0.016251,0.000385,1
2833,47.6406,35.7635,1.3321,0.7507,0.2885,0.0278,0.533337,0.535557,0.002220,0.879444,0.877081,0.002363,5.135546,5.209067,0.073521,0.014705,0.014854,0.000149,0
2834,37.2362,41.3743,0.9000,1.1111,1.3359,0.0497,0.324554,0.324680,0.000126,0.533261,0.533367,0.000106,17.109934,17.109520,0.000413,0.028462,0.028456,0.000006,1
2835,51.3724,46.6248,1.1018,0.9076,1.1236,0.0238,0.427340,0.427338,0.000002,0.691335,0.691280,0.000055,19.174981,19.176111,0.001130,0.015132,0.015151,0.000019,1
2836,34.5683,43.9980,0.7857,1.2728,0.3241,0.0284,0.344659,0.349147,0.004488,0.139113,0.143731,0.004618,4.361032,4.459596,0.098563,0.032676,0.033044,0.000368,0
2837,74.0654,96.0919,0.7708,1.2974,0.3117,0.0227,0.374018,0.393673,0.019655,0.133809,0.125472,0.008336,8.923033,8.538513,0.384520,0.013954,0.010594,0.003360,0
2838,69.7531,91.1872,0.7649,1.3073,0.7752,0.0259,0.160767,0.288931,0.128164,0.046440,0.056977,0.010537,5.970572,7.174352,1.203780,0.009846,0.009160,0.000686,0
2839,23.1147,26.2405,0.8809,1.1352,0.9052,0.0374,0.177808,0.177815,0.000006,0.320952,0.321337,0.000385,7.874145,7.877935,0.003790,0.091568,0.091608,0.000040,1
2840,73.9793,81.7818,0.9046,1.1055,0.6863,0.0440,0.329217,0.330236,0.001019,0.452044,0.421334,0.030710,24.273543,23.973337,0.300206,0.019629,0.019332,0.000297,1
2841,64.8128,80.2454,0.8077,1.2381,0.2672,0.0522,0.182740,0.385335,0.202595,0.019405,0.052555,0.033149,1.581180,3.714715,2.133534,0.007708,0.013280,0.005572,0
2842,27.5533,24.0039,1.1479,0.8712,1.4850,0.0358,0.526318,0.526420,0.000102,0.731875,0.731750,0.000125,11.063387,11.065735,0.002347,0.018645,0.018645,0.000000,1
2843,49.1787,47.7258,1.0304,0.9705,0.5070,0.0448,0.321441,0.321440,0.000001,0.634882,0.634831,0.000051,13.163667,13.164106,0.000439,0.033397,0.033375,0.000022,1
2844,39.3457,29.0617,1.3539,0.7386,0.1361,0.0549,0.455112,0.547013,0.091901,0.973358,0.934230,0.039128,0.894879,1.878031,0.983152,0.009329,0.015206,0.005877,0
2845,31.3053,42.9647,0.7286,1.3724,1.4617,0.0209,0.510057,0.510073,0.000016,0.438203,0.439905,0.001702,14.917872,14.927679,0.009808,0.020417,0.020430,0.000013,0
2846,69.9179,93.1651,0.7505,1.3325,1.3621,0.0331,0.196217,0.210403,0.014186,0.173075,0.119906,0.053169,20.887351,16.325267,4.562084,0.015986,0.011686,0.004300,0
2847,24.5759,19.7967,1.2414,0.8055,1.1694,0.0518,0.329107,0.329328,0.000221,0.830420,0.829652,0.000768,6.714495,6.734310,0.019815,0.028887,0.028949,0.000062,0
2848,60.3943,70.9469,0.8513,1.1747,0.7012,0.0579,0.297478,0.297520,0.000042,0.359808,0.354415,0.005393,18.916062,18.815919,0.100142,0.024864,0.024695,0.000169,1
2849,68.4329,95.7870,0.7144,1.3997,0.8762,0.0211,0.190321,0.354240,0.163919,0.045051,0.059024,0.013973,6.077278,7.668265,1.590987,0.007782,0.007372,0.000410,0
2850,31.9883,23.6560,1.3522,0.7395,0.3455,0.0521,0.278263,0.348062,0.069799,0.979154,0.935360,0.043794,0.942979,2.402049,1.459070,0.009584,0.018031,0.008447,0
2851,21.3056,19.2406,1.1073,0.9031,0.7212,0.0354,0.155957,0.156261,0.000304,0.848229,0.846253,0.001977,4.251830,4.289041,0.037211,0.083274,0.083313,0.000039,1
2852,36.2859,26.4528,1.3717,0.7290,1.0744,0.0435,0.388350,0.389037,0.000687,0.864905,0.863071,0.001834,8.170130,8.248353,0.078223,0.014872,0.014987,0.000116,0
2853,35.9526,36.2215,0.9926,1.0075,0.2112,0.0219,0.499815,0.500025,0.000210,0.540828,0.540830,0.000002,6.556582,6.556560,0.000022,0.048058,0.048038,0.000020,1
2854,51.1582,62.6073,0.8171,1.2238,0.7053,0.0274,0.255191,0.255371,0.000179,0.228115,0.229309,0.001194,12.986134,13.023997,0.037863,0.027567,0.027627,0.000060,0
2855,36.8444,30.8120,1.1958,0.8363,1.3138,0.0264,0.227944,0.228080,0.000135,0.828358,0.827742,0.000615,10.752937,10.778023,0.025087,0.026449,0.026495,0.000046,0
2856,39.1589,50.6347,0.7734,1.2931,0.5085,0.0271,0.329571,0.330894,0.001323,0.179444,0.183297,0.003853,7.312713,7.410764,0.098051,0.028458,0.028626,0.000168,0
2857,55.1720,62.0800,0.8887,1.1252,1.3388,0.0443,0.362384,0.362496,0.000112,0.527860,0.527959,0.000099,25.405739,25.405266,0.000473,0.017203,0.017204,0.000001,1
2858,61.9929,53.6163,1.1562,0.8649,0.7274,0.0204,0.246512,0.246576,0.000064,0.806835,0.806428,0.000407,14.493945,14.512587,0.018642,0.021032,0.021053,0.000021,0
2859,63.8551,63.0121,1.0134,0.9868,0.6087,0.0493,0.482334,0.482462,0.000128,0.619148,0.619131,0.000017,18.981797,18.981830,0.000032,0.015856,0.015856,0.000001,1
2860,63.4120,69.5757,0.9114,1.0972,1.1152,0.0567,0.406563,0.406707,0.000144,0.558006,0.554723,0.003283,26.432386,26.463431,0.031045,0.014498,0.014515,0.000017,1
2861,30.2615,24.6779,1.2263,0.8155,1.3313,0.0525,0.465366,0.465458,0.000092,0.781859,0.781336,0.000523,10.288263,10.302280,0.014017,0.018134,0.018128,0.000006,0
2862,21.5894,27.8596,0.7749,1.2904,0.3892,0.0581,0.502281,0.502413,0.000132,0.279300,0.280884,0.001585,4.528207,4.540543,0.012336,0.049700,0.049820,0.000120,0
2863,25.4659,26.6644,0.9551,1.0471,0.9388,0.0425,0.424545,0.424653,0.000109,0.575638,0.575646,0.000008,9.665922,9.665820,0.000102,0.037398,0.037390,0.000009,1
2864,37.6043,51.9551,0.7238,1.3816,0.9149,0.0539,0.215261,0.222768,0.007507,0.109815,0.120522,0.010707,6.755266,7.221887,0.466621,0.024256,0.025199,0.000943,0
2865,33.6235,34.4380,0.9763,1.0242,0.9342,0.0521,0.348077,0.348199,0.000122,0.595456,0.595450,0.000006,12.591941,12.591871,0.000069,0.034253,0.034243,0.000010,1
2866,57.2485,68.4364,0.8365,1.1954,0.5188,0.0495,0.541406,0.541404,0.000002,0.421933,0.422438,0.000505,16.133651,16.137626,0.003975,0.017527,0.017531,0.000003,0
2867,50.5411,66.9149,0.7553,1.3240,0.2609,0.0582,0.363984,0.384489,0.020506,0.090969,0.108543,0.017573,4.225729,4.813389,0.587660,0.017420,0.018688,0.001268,0
2868,25.8577,21.5882,1.1978,0.8349,1.4795,0.0437,0.414962,0.415025,0.000064,0.769733,0.769394,0.000338,9.556512,9.564161,0.007649,0.023281,0.023290,0.000009,0
2869,64.6242,55.7071,1.1601,0.8620,0.4532,0.0280,0.325506,0.325568,0.000062,0.800960,0.800540,0.000421,12.144736,12.160127,0.015391,0.019712,0.019732,0.000019,0
2870,58.3032,53.3547,1.0927,0.9151,1.4322,0.0281,0.547034,0.547120,0.000086,0.699945,0.699906,0.000039,24.261540,24.262473,0.000933,0.009110,0.009109,0.000001,1
2871,33.2481,36.2668,0.9168,1.0908,0.8196,0.0255,0.191212,0.191211,0.000001,0.384158,0.384312,0.000154,11.498553,11.499784,0.001231,0.066371,0.066372,0.000001,1
2872,35.6084,35.9636,0.9901,1.0100,0.1118,0.0297,0.319329,0.319323,0.000005,0.496642,0.496662,0.000020,4.750464,4.750474,0.000010,0.104910,0.104911,0.000001,1
2873,61.1176,69.5769,0.8784,1.1384,1.1241,0.0522,0.309661,0.309697,0.000036,0.479258,0.476209,0.003049,25.816105,25.805053,0.011052,0.019855,0.019844,0.000011,1
2874,64.0309,53.5446,1.1958,0.8362,0.7416,0.0243,0.231472,0.232077,0.000605,0.861548,0.860229,0.001319,12.180723,12.262785,0.082062,0.017307,0.017365,0.000059,0
2875,31.3694,37.1527,0.8443,1.1844,0.7395,0.0556,0.259085,0.259100,0.000014,0.321515,0.322199,0.000684,9.666020,9.674376,0.008356,0.051268,0.051308,0.000040,0
2876,78.6157,61.0435,1.2879,0.7765,0.2069,0.0314,0.238296,0.353622,0.115326,0.992815,0.899086,0.093730,0.713109,6.328346,5.615238,0.002340,0.009278,0.006938,0
2877,53.1211,43.6090,1.2181,0.8209,1.3326,0.0323,0.191053,0.192333,0.001279,0.884902,0.882752,0.002150,11.910145,12.076614,0.166469,0.016577,0.016698,0.000120,0
2878,69.4693,88.9403,0.7811,1.2803,0.5298,0.0558,0.183045,0.291088,0.108042,0.058654,0.059393,0.000739,5.917154,6.079579,0.162425,0.012644,0.010599,0.002045,0
2879,27.6815,24.7448,1.1187,0.8939,0.2659,0.0519,0.330218,0.330279,0.000061,0.795243,0.794971,0.000271,4.052818,4.055973,0.003155,0.060235,0.060264,0.000029,1
2880,22.0783,20.2917,1.0880,0.9191,1.3370,0.0585,0.483189,0.483275,0.000086,0.715784,0.715738,0.000046,8.655811,8.656292,0.000482,0.027486,0.027483,0.000003,1
2881,78.0023,89.0002,0.8764,1.1410,0.1557,0.0333,0.242862,0.366454,0.123592,0.101229,0.057428,0.043802,5.449495,3.614693,1.834801,0.023690,0.015128,0.008563,1
2882,61.0590,82.0729,0.7440,1.3442,1.1822,0.0208,0.507628,0.508515,0.000887,0.414785,0.392690,0.022095,25.878836,25.521069,0.357766,0.011567,0.011380,0.000186,0
2883,68.8046,85.2642,0.8070,1.2392,0.4725,0.0458,0.353424,0.358879,0.005455,0.250709,0.203454,0.047255,15.052372,13.377650,1.674722,0.019039,0.016633,0.002406,0
2884,56.7541,64.7513,0.8765,1.1409,1.3052,0.0203,0.347540,0.347538,0.000002,0.473322,0.473532,0.000209,25.809233,25.810108,0.000875,0.017664,0.017665,0.000001,1
2885,46.5712,42.7498,1.0894,0.9179,0.3899,0.0429,0.210219,0.210280,0.000061,0.801029,0.800516,0.000513,8.115997,8.128557,0.012560,0.045655,0.045639,0.000016,1
2886,43.9491,36.5460,1.2026,0.8316,0.4728,0.0221,0.177027,0.198782,0.021755,0.951741,0.931199,0.020542,3.029831,4.040066,1.010234,0.018740,0.022499,0.003759,0
2887,25.8687,30.6313,0.8445,1.1841,0.9544,0.0598,0.231533,0.231560,0.000026,0.351288,0.352499,0.001212,9.373164,9.384669,0.011505,0.063387,0.063313,0.000074,0
2888,58.9367,46.0804,1.2790,0.7819,1.1115,0.0248,0.176405,0.188762,0.012358,0.941102,0.925891,0.015211,7.294877,8.772421,1.477544,0.010711,0.011966,0.001255,0
2889,79.4507,105.1953,0.7553,1.3240,1.1387,0.0320,0.347186,0.363344,0.016158,0.317772,0.226575,0.091198,30.230083,25.527227,4.702856,0.012113,0.009780,0.002334,0
2890,32.8654,44.7056,0.7352,1.3603,0.3963,0.0256,0.297124,0.331960,0.034837,0.067176,0.094523,0.027347,2.691248,3.491823,0.800575,0.021157,0.024740,0.003583,0
2891,51.4328,50.5461,1.0175,0.9828,0.9253,0.0378,0.343158,0.343266,0.000108,0.626866,0.626848,0.000018,18.730810,18.730855,0.000045,0.022300,0.022298,0.000002,1
2892,53.1706,48.4305,1.0979,0.9109,0.2740,0.0249,0.236270,0.236363,0.000093,0.808368,0.808105,0.000263,7.592736,7.599140,0.006404,0.041482,0.041500,0.000018,1
2893,63.0787,54.3277,1.1611,0.8613,0.1247,0.0214,0.263858,0.299618,0.035760,0.953340,0.930874,0.022466,2.173706,2.988099,0.814393,0.016604,0.020324,0.003720,0
2894,68.4072,66.9809,1.0213,0.9791,1.1400,0.0226,0.307805,0.307900,0.000095,0.620489,0.621878,0.001389,27.799454,27.767822,0.031632,0.016929,0.016911,0.000018,1
2895,76.9366,100.4432,0.7660,1.3055,0.4380,0.0460,0.380744,0.410983,0.030239,0.197060,0.129494,0.067566,14.127677,10.746465,3.381212,0.014313,0.010011,0.004302,0
2896,52.6029,47.4112,1.1095,0.9013,1.4510,0.0272,0.298320,0.298330,0.000010,0.718533,0.718428,0.000105,21.384097,21.387476,0.003379,0.017853,0.017855,0.000002,1
2897,24.7536,21.6056,1.1457,0.8728,1.3978,0.0461,0.446176,0.446227,0.000051,0.740110,0.739963,0.000147,9.490588,9.493149,0.002561,0.024836,0.024840,0.000004,1
2898,50.6455,39.4907,1.2825,0.7797,1.4903,0.0399,0.327654,0.327866,0.000211,0.834097,0.833138,0.000960,15.401523,15.459976,0.058453,0.012297,0.012334,0.000037,0
2899,25.1527,28.7008,0.8764,1.1411,0.5466,0.0439,0.267692,0.267695,0.000003,0.327618,0.327987,0.000369,6.714982,6.717926,0.002944,0.072537,0.072567,0.000030,1
2900,43.8099,50.3669,0.8698,1.1497,0.6046,0.0599,0.447433,0.447437,0.000004,0.451132,0.451410,0.000278,13.488230,13.489339,0.001110,0.025977,0.025979,0.000002,1
2901,76.0723,73.0398,1.0415,0.9601,1.0059,0.0484,0.310796,0.310891,0.000095,0.670970,0.678678,0.007708,27.598198,27.331146,0.267051,0.015254,0.015102,0.000152,1
2902,51.9126,53.8012,0.9649,1.0364,0.4662,0.0444,0.255448,0.255593,0.000145,0.500440,0.500430,0.000011,14.140037,14.140069,0.000032,0.044062,0.044062,0.000000,1
2903,41.9623,55.4582,0.7566,1.3216,0.5292,0.0272,0.316753,0.319974,0.003221,0.150934,0.155708,0.004774,7.146770,7.296621,0.149851,0.024214,0.024484,0.000270,0
2904,72.9887,61.7402,1.1822,0.8459,1.2532,0.0366,0.229531,0.229879,0.000348,0.831048,0.838841,0.007793,20.594793,19.976422,0.618371,0.013439,0.013018,0.000421,0
2905,24.1200,27.2127,0.8864,1.1282,0.8997,0.0315,0.457749,0.457851,0.000103,0.501811,0.502186,0.000375,9.126865,9.126840,0.000026,0.038095,0.038036,0.000058,1
2906,60.6250,70.2893,0.8625,1.1594,1.2755,0.0497,0.441415,0.441541,0.000126,0.531766,0.529291,0.002475,27.228619,27.241559,0.012940,0.013158,0.013163,0.000005,1
2907,21.8329,27.6986,0.7882,1.2687,0.7899,0.0442,0.392427,0.392447,0.000020,0.341753,0.343100,0.001347,7.123869,7.134368,0.010498,0.048213,0.048257,0.000044,0
2908,60.4089,63.7643,0.9474,1.0555,1.0537,0.0309,0.249710,0.249810,0.000100,0.517606,0.517637,0.000031,24.714030,24.713945,0.000086,0.025739,0.025730,0.000009,1
2909,39.8566,49.0472,0.8126,1.2306,1.2365,0.0237,0.183143,0.183305,0.000161,0.219725,0.221295,0.001570,13.113189,13.166571,0.053382,0.036453,0.036541,0.000088,0
2910,58.0578,75.2407,0.7716,1.2960,1.1850,0.0285,0.540320,0.540388,0.000069,0.464437,0.458256,0.006181,25.113324,25.075344,0.037980,0.011636,0.011617,0.000019,0
2911,71.4011,50.3530,1.4180,0.7052,1.1588,0.0465,0.439682,0.440284,0.000603,0.861771,0.859802,0.001969,16.960246,17.128655,0.168409,0.006529,0.006585,0.000056,0
2912,79.9652,105.7741,0.7560,1.3228,0.4589,0.0596,0.533544,0.560349,0.026805,0.302363,0.211893,0.090471,18.900331,15.693262,3.207069,0.012073,0.009539,0.002534,0
2913,22.9701,28.3924,0.8090,1.2361,0.3559,0.0257,0.314568,0.316357,0.001789,0.161867,0.165262,0.003395,3.359460,3.405287,0.045828,0.056875,0.057192,0.000317,0
2914,39.9097,38.4125,1.0390,0.9625,0.6001,0.0200,0.159180,0.159179,0.000001,0.680549,0.680520,0.000029,11.047784,11.048006,0.000223,0.072616,0.072618,0.000001,1
2915,45.4909,42.4170,1.0725,0.9324,0.4092,0.0351,0.541626,0.541619,0.000006,0.661513,0.661463,0.000050,10.643807,10.644246,0.000439,0.023209,0.023206,0.000003,1
2916,70.7273,53.2864,1.3273,0.7534,1.2929,0.0498,0.164246,0.201159,0.036913,0.974656,0.937903,0.036752,4.754325,9.980022,5.225697,0.004476,0.007367,0.002891,0
2917,72.6682,93.6599,0.7759,1.2889,0.1931,0.0515,0.431649,0.300009,0.131640,0.116937,0.000000,0.116937,6.272853,0.000000,6.272853,0.014248,0.000000,0.014248,0
2918,44.5607,42.0456,1.0598,0.9436,0.9473,0.0363,0.312090,0.312096,0.000006,0.675890,0.675775,0.000114,15.592142,15.594134,0.001992,0.026560,0.026525,0.000035,1
2919,39.9957,52.6515,0.7596,1.3164,0.7094,0.0243,0.468613,0.468669,0.000055,0.324394,0.326014,0.001620,12.115441,12.139960,0.024519,0.022781,0.022825,0.000043,0
2920,77.3595,68.7080,1.1259,0.8882,0.1888,0.0464,0.508226,0.509688,0.001462,0.753985,0.776818,0.022833,10.591183,10.035314,0.555869,0.018441,0.017454,0.000988,1
2921,63.7288,56.3620,1.1307,0.8844,0.1999,0.0347,0.534277,0.534279,0.000002,0.746223,0.746000,0.000223,9.127250,9.131262,0.004012,0.021038,0.021047,0.000009,1
2922,39.8602,41.5003,0.9605,1.0411,0.8533,0.0345,0.494371,0.494476,0.000106,0.580989,0.580990,0.000001,14.385549,14.385435,0.000113,0.021463,0.021460,0.000003,1
2923,35.9526,35.3474,1.0171,0.9832,0.4303,0.0430,0.481175,0.481322,0.000147,0.606518,0.606502,0.000016,9.070936,9.070941,0.000006,0.033896,0.033891,0.000005,1
2924,46.2801,47.4013,0.9763,1.0242,0.7327,0.0561,0.541125,0.541249,0.000124,0.605883,0.605882,0.000000,15.243911,15.243759,0.000152,0.017951,0.017947,0.000004,1
2925,77.2021,79.6908,0.9688,1.0322,1.3417,0.0305,0.220949,0.221131,0.000181,0.565080,0.554069,0.011010,35.199484,35.346920,0.147435,0.019922,0.019987,0.000066,1
2926,30.3787,39.7669,0.7639,1.3090,0.8138,0.0420,0.388899,0.388953,0.000054,0.310372,0.312061,0.001689,9.673205,9.695819,0.022614,0.033120,0.033192,0.000072,0
2927,39.2102,53.6269,0.7312,1.3677,1.4242,0.0556,0.549451,0.549509,0.000059,0.488476,0.490066,0.001591,18.659813,18.661831,0.002018,0.015510,0.015510,0.000000,0
2928,34.4346,27.3976,1.2568,0.7956,0.2559,0.0245,0.187477,0.333915,0.146438,0.994201,0.948005,0.046196,0.287336,1.919273,1.631937,0.005052,0.022425,0.017373,0
2929,45.1320,46.4008,0.9727,1.0281,0.4395,0.0461,0.239822,0.239971,0.000149,0.512977,0.512993,0.000016,11.930103,11.930095,0.000008,0.055568,0.055534,0.000034,1
2930,56.9372,43.0647,1.3221,0.7564,0.6466,0.0596,0.217006,0.271395,0.054389,0.971833,0.942051,0.029781,2.956356,5.411186,2.454830,0.006499,0.009943,0.003444,0
2931,50.0467,35.7586,1.3996,0.7145,0.1968,0.0239,0.151440,0.540616,0.389175,1.000000,0.948895,0.051104,0.000019,2.423957,2.423938,0.000000,0.010504,0.010504,0
2932,37.5750,51.5390,0.7291,1.3716,0.3221,0.0223,0.185914,0.300000,0.114086,0.002028,0.000000,0.002028,0.136903,0.000000,0.136903,0.001619,0.000000,0.001619,0
2933,58.6785,41.5062,1.4137,0.7073,0.6261,0.0491,0.274906,0.325074,0.050168,0.967253,0.939386,0.027867,3.396639,5.663545,2.266906,0.005731,0.008115,0.002383,0
2934,30.3201,35.0220,0.8657,1.1551,1.3230,0.0296,0.346283,0.346286,0.000004,0.474356,0.474626,0.000270,13.884189,13.884780,0.000591,0.032966,0.032967,0.000001,1
2935,67.1456,92.4374,0.7264,1.3767,0.2898,0.0306,0.212734,0.300000,0.087266,0.003947,0.000000,0.003947,0.423210,0.000000,0.423210,0.001522,0.000000,0.001522,0
2936,54.8808,64.8382,0.8464,1.1814,1.0510,0.0568,0.392744,0.392771,0.000027,0.474296,0.474709,0.000413,22.399422,22.400889,0.001468,0.018016,0.018016,0.000000,0
2937,59.0173,70.8737,0.8327,1.2009,1.3840,0.0468,0.229849,0.229887,0.000038,0.381118,0.378187,0.002930,26.459043,26.396394,0.062648,0.023881,0.023810,0.000071,0
2938,31.0617,25.9469,1.1971,0.8353,1.0691,0.0549,0.167969,0.175933,0.007963,0.927932,0.919496,0.008436,4.409818,4.819267,0.409450,0.025452,0.026817,0.001365,0
2939,60.2551,42.7475,1.4096,0.7094,1.2915,0.0465,0.150073,0.241783,0.091710,0.992857,0.947612,0.045246,1.358398,7.578027,6.219629,0.001930,0.007235,0.005305,0
